"Member__r.Name","Challenge__r.Challenge_Id__c","Place__c","Points_Awarded__c","Score__c","Status__c","Submitted_Date__c"
"akai","1105","","0.0","0.0","Registered",""
"mural","1106","2","440.0","94.0","Lost","2011-12-19T14:03:01.000Z"
"muhammad_arshad","1097","","0.0","0.0","Registered",""
"mftime","1107","","0.0","0.0","Registered",""
"SumitBillionaire","1097","","0.0","0.0","Registered",""
"neeta","1097","","0.0","0.0","Registered",""
"ChrisODavies","1110","","0.0","0.0","Registered",""
"rrpk","1105","","0.0","0.0","Registered",""
"mitesh91","1103","","0.0","0.0","Registered",""
"sri4it","1103","","0.0","0.0","Registered",""
"pradhip","1108","","0.0","0.0","Registered",""
"jaidattar","1105","","0.0","0.0","Registered",""
"surendra","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"GoutamSindur","1107","","0.0","0.0","Registered",""
"mess","1112","","0.0","0.0","Registered",""
"Mick","1112","","0.0","0.0","Registered",""
"sindujaramaraj","1109","","0.0","0.0","Registered",""
"ankushsood","1109","","0.0","0.0","Registered",""
"Arpitvicky","1133","","0.0","0.0","Registered",""
"Asif2011","1133","","0.0","0.0","Registered",""
"shobhitkapil","1133","","0.0","0.0","Registered",""
"sanjaykumar","1132","","0.0","0.0","Registered",""
"harryrocks","1133","","0.0","0.0","Registered",""
"NupurDhawan","1133","","0.0","0.0","Registered",""
"Liu_Junxiu","1133","","0.0","0.0","Registered",""
"anandsanju","1132","","0.0","0.0","Registered",""
"baban1989","1133","","0.0","0.0","Registered",""
"mumtazaiet","1133","","0.0","0.0","Registered",""
"nik1556","1133","","0.0","0.0","Registered",""
"seshasrinivas","1132","","0.0","0.0","Registered",""
"f3g54gg","1131","","0.0","0.0","Registered",""
"amansingh2695","1133","","0.0","0.0","Registered",""
"mbmclaughlin","1135","","0.0","0.0","Registered",""
"dschach","1135","","0.0","0.0","Registered",""
"raygao","1136","","0.0","0.0","Registered",""
"krishan786","1136","","0.0","0.0","Submission Rejected","2011-12-19T14:03:19.000Z"
"kushu","1132","","0.0","0.0","Registered",""
"Rahul1234","1132","","0.0","25.0","Registered","2011-12-19T14:03:04.000Z"
"amitsn","1133","","0.0","0.0","Registered",""
"Avinahs","1135","","0.0","0.0","Registered",""
"Avinahs","1136","","0.0","0.0","Registered",""
"key98","1136","","0.0","0.0","Registered",""
"fiza","1133","","0.0","0.0","Registered",""
"toarunps","1133","","0.0","0.0","Registered",""
"gaurab002","1132","","0.0","0.0","Registered",""
"kimby","1137","","0.0","0.0","Registered",""
"prava3","1136","","0.0","0.0","Registered",""
"blackmamba","1133","","0.0","0.0","Registered",""
"anurag26","1136","","0.0","0.0","Registered",""
